AvailabilityZone,AvailabilityZoneId,AvailableIpAddressCount,CidrBlock,DefaultForAz,MapPublicIpOnLaunch,MapCustomerOwnedIpOnLaunch,State,SubnetId,VpcId,OwnerId,AssignIpv6AddressOnCreation,Ipv6CidrBlockAssociationSet,SubnetArn
us-east-1b,use1-az6,232,10.205.4.0/24,FALSE,FALSE,FALSE,available,subnet-c0043d99,vpc-6d304f08,9.87654E+12,FALSE,[],arn:aws:ec2:us-east-1:1234567890:subnet/subnet-c0043d99
us-east-1d,use1-az2,26,10.194.60.96/27,FALSE,FALSE,FALSE,available,subnet-0370e360ad8710000,vpc-0e999ead3381a15fd,9.87654E+12,FALSE,[],arn:aws:ec2:us-east-1:1234567890:subnet/subnet-0370e360ad8710000
us-east-1a,use1-az4,8,10.205.6.0/28,FALSE,FALSE,FALSE,available,subnet-9471dee2,vpc-6d304f08,9.87654E+12,FALSE,[],arn:aws:ec2:us-east-1:1234567890:subnet/subnet-9471dee2
us-east-1d,use1-az2,31,10.203.3.0/25,FALSE,FALSE,FALSE,available,subnet-be655595,vpc-dc314eb9,9.87654E+12,FALSE,[],arn:aws:ec2:us-east-1:1234567890:subnet/subnet-be655595
us-east-1a,use1-az4,26,10.205.6.64/27,FALSE,FALSE,FALSE,available,subnet-ab71dedd,vpc-6d304f08,9.87654E+12,FALSE,[],arn:aws:ec2:us-east-1:1234567890:subnet/subnet-ab71dedd
us-east-1b,use1-az6,27,10.203.63.96/27,FALSE,FALSE,FALSE,available,subnet-4cf45617,vpc-dc314eb9,9.87654E+12,FALSE,[],arn:aws:ec2:us-east-1:1234567890:subnet/subnet-4cf45617
us-east-1d,use1-az2,10,10.205.7.32/28,FALSE,FALSE,FALSE,available,subnet-c128abeb,vpc-6d304f08,9.87654E+12,FALSE,[],arn:aws:ec2:us-east-1:1234567890:subnet/subnet-c128abeb
us-east-1a,use1-az4,11,10.205.5.112/28,FALSE,FALSE,FALSE,available,subnet-729abc05,vpc-6d304f08,9.87654E+12,FALSE,[],arn:aws:ec2:us-east-1:1234567890:subnet/subnet-729abc05
us-east-1d,use1-az2,24,10.203.10.32/27,FALSE,FALSE,FALSE,available,subnet-828e40ae,vpc-dc314eb9,9.87654E+12,FALSE,[],arn:aws:ec2:us-east-1:1234567890:subnet/subnet-828e40ae
us-east-1a,use1-az4,26,10.205.7.64/27,FALSE,FALSE,FALSE,available,subnet-12faec59,vpc-6d304f08,9.87654E+12,FALSE,[],arn:aws:ec2:us-east-1:1234567890:subnet/subnet-12faec59
us-east-1b,use1-az6,11,10.205.63.224/28,FALSE,FALSE,FALSE,available,subnet-53a03508,vpc-6d304f08,9.87654E+12,FALSE,[],arn:aws:ec2:us-east-1:1234567890:subnet/subnet-53a03508
us-east-1d,use1-az2,11,10.205.5.144/28,FALSE,FALSE,FALSE,available,subnet-2eb2df05,vpc-6d304f08,9.87654E+12,FALSE,[],arn:aws:ec2:us-east-1:1234567890:subnet/subnet-2eb2df05
us-east-1a,use1-az4,4091,172.31.0.0/20,TRUE,TRUE,FALSE,available,subnet-8df5c1fa,vpc-9f7197fb,9.87654E+12,FALSE,[],arn:aws:ec2:us-east-1:1234567890:subnet/subnet-8df5c1fa
